"Twilight","Rise","Deleted","Marker","Inserted"
2019-04-02 21:50:49.632494,TRUE,FALSE,0,FALSE
2019-04-03 10:45:44.435829,FALSE,FALSE,0,FALSE
2019-04-03 21:50:22.278364,TRUE,FALSE,0,FALSE
2019-04-04 10:46:45.108021,FALSE,FALSE,0,FALSE
2019-04-04 21:46:55.513502,TRUE,FALSE,0,FALSE
2019-04-05 10:45:37.16014,FALSE,FALSE,0,FALSE
2019-04-05 21:57:32.54588,TRUE,FALSE,0,FALSE
2019-04-06 10:50:26.231654,FALSE,FALSE,0,FALSE
2019-04-06 21:55:50.632494,TRUE,FALSE,0,FALSE
2019-04-07 10:43:20.216505,FALSE,FALSE,0,FALSE
2019-04-07 21:44:00.384703,TRUE,FALSE,0,FALSE
2019-04-08 10:45:15.692795,FALSE,FALSE,0,FALSE
2019-04-08 21:48:26.074629,TRUE,FALSE,0,FALSE
2019-04-09 10:46:59.367506,FALSE,FALSE,0,FALSE
2019-04-09 21:45:08.533285,TRUE,FALSE,0,FALSE
2019-04-10 10:45:26.231654,FALSE,FALSE,0,FALSE
2019-04-10 21:55:08.533285,TRUE,FALSE,0,FALSE
2019-04-11 10:33:13.559987,FALSE,FALSE,0,FALSE
2019-04-11 22:08:04.030037,TRUE,FALSE,0,FALSE
2019-04-12 10:40:57.614431,FALSE,FALSE,0,FALSE
2019-04-12 21:46:13.315867,TRUE,FALSE,0,FALSE
2019-04-13 10:44:24.925371,FALSE,FALSE,0,FALSE
2019-04-13 21:40:37.949005,TRUE,FALSE,0,FALSE
2019-04-14 10:47:00.367506,FALSE,FALSE,0,FALSE
2019-04-14 21:35:51.632494,TRUE,FALSE,0,FALSE
2019-04-15 10:50:27.231654,FALSE,FALSE,0,FALSE
2019-04-15 21:45:14.944505,TRUE,FALSE,0,FALSE
2019-04-16 10:54:59.313857,FALSE,FALSE,0,FALSE
2019-04-16 21:23:38.807834,TRUE,FALSE,0,FALSE
2019-04-17 10:56:33.779263,FALSE,FALSE,0,FALSE
2019-04-17 21:20:10.533285,TRUE,FALSE,0,FALSE
2019-04-18 10:46:34.779263,FALSE,FALSE,0,FALSE
2019-04-18 21:31:19.220737,TRUE,FALSE,0,FALSE
2019-04-19 10:20:28.231654,FALSE,FALSE,0,FALSE
2019-04-19 21:30:10.533285,TRUE,FALSE,0,FALSE
2019-04-20 10:38:51.615297,FALSE,FALSE,0,FALSE
2019-04-20 21:30:52.632494,TRUE,FALSE,0,FALSE
2019-04-21 10:50:35.332559,FALSE,FALSE,0,FALSE
2019-04-21 21:26:06.891979,TRUE,FALSE,0,FALSE
2019-04-22 10:42:43.466715,FALSE,FALSE,0,FALSE
2019-04-22 21:22:25.768346,TRUE,FALSE,0,FALSE
2019-04-23 10:49:25.925371,FALSE,FALSE,0,FALSE
2019-04-23 21:22:13.530224,TRUE,FALSE,0,FALSE
2019-04-24 10:37:43.466715,FALSE,FALSE,0,FALSE
2019-04-24 21:17:54.686143,TRUE,FALSE,0,FALSE
2019-04-25 10:51:40.684133,FALSE,FALSE,0,FALSE
2019-04-25 21:17:54.686143,TRUE,FALSE,0,FALSE
2019-04-26 10:37:16.050995,FALSE,FALSE,0,FALSE
2019-04-26 21:28:29.074629,TRUE,FALSE,0,FALSE
2019-04-27 10:42:39.055495,FALSE,FALSE,0,FALSE
2019-04-27 21:26:07.891979,TRUE,FALSE,0,FALSE
2019-04-28 10:48:11.888088,FALSE,FALSE,0,FALSE
2019-04-28 21:04:03.384703,TRUE,FALSE,0,FALSE
2019-04-29 11:06:40.684133,FALSE,FALSE,0,FALSE
2019-04-29 21:05:57.057139,TRUE,FALSE,0,FALSE
2019-04-30 11:02:44.466715,FALSE,FALSE,0,FALSE
2019-04-30 20:49:40.440013,TRUE,FALSE,0,FALSE
2019-05-01 11:04:31.467478,FALSE,FALSE,0,FALSE
2019-05-01 20:48:41.807834,TRUE,FALSE,0,FALSE
2019-05-02 11:03:16.559987,FALSE,FALSE,0,FALSE
2019-05-02 20:54:05.653538,TRUE,FALSE,0,FALSE
2019-05-03 11:07:03.367506,FALSE,FALSE,0,FALSE
2019-05-03 20:48:15.464899,TRUE,FALSE,0,FALSE
2019-05-04 11:26:49.108021,FALSE,FALSE,0,FALSE
2019-05-04 20:46:16.315867,TRUE,FALSE,0,FALSE
2019-05-05 11:26:59.942861,FALSE,FALSE,0,FALSE
2019-05-05 20:44:41.440013,TRUE,FALSE,0,FALSE
2019-05-06 11:26:49.108021,FALSE,FALSE,0,FALSE
2019-05-06 20:40:16.691777,TRUE,FALSE,0,FALSE
2019-05-07 11:25:02.313857,FALSE,FALSE,0,FALSE
2019-05-07 20:41:21.220737,TRUE,FALSE,0,FALSE
2019-05-08 11:28:17.559987,FALSE,FALSE,0,FALSE
2019-05-08 20:43:16.464899,TRUE,FALSE,0,FALSE
2019-05-09 11:34:00.70206,FALSE,FALSE,0,FALSE
2019-05-09 20:38:31.074629,TRUE,FALSE,0,FALSE
2019-05-10 11:16:50.108021,FALSE,FALSE,0,FALSE
2019-05-10 20:38:31.074629,TRUE,FALSE,0,FALSE
2019-05-11 11:35:20.692795,FALSE,FALSE,0,FALSE
2019-05-11 20:35:18.944505,TRUE,FALSE,0,FALSE
2019-05-12 11:33:17.559987,FALSE,FALSE,0,FALSE
2019-05-12 20:38:31.074629,TRUE,FALSE,0,FALSE
2019-05-13 11:37:04.367506,FALSE,FALSE,0,FALSE
2019-05-13 20:31:22.220737,TRUE,FALSE,0,FALSE
2019-05-14 11:36:37.779263,FALSE,FALSE,0,FALSE
2019-05-14 20:35:56.632494,TRUE,FALSE,0,FALSE
2019-05-15 11:35:44.469776,FALSE,FALSE,0,FALSE
2019-05-15 20:34:43.440013,TRUE,FALSE,0,FALSE
2019-05-16 11:37:01.942861,FALSE,FALSE,0,FALSE
